,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
647,boAt,boAt Airdopes 181,100,"₹4,990","₹1,099",77%,4,"(6,68,128)"
648,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4.1,"(2,10,839)"
649,AMS,AMS X53 50Hrs,50,"₹3,499",₹746,78%,3.7,"(23,649)"
650,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,4.5,(604)
651,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(29,713)"
652,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4.1,"(78,308)"
653,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,3.7,"(7,843)"
654,One7,One7 ON-1000 TWS,24,"₹1,599",₹713,55%,4,
655,Number,Number Navo Buds,50,"₹3,999",₹599,85%,5,
656,Number,Number Super Buds,,"₹3,999","₹1,078",73%,5,
657,Number,Number Super Buds,,"₹4,999",₹799,84%,3.9,
658,GOBOULT,GOBOULT Z60 with,60,"₹2,999",₹799,73%,3,
659,One7,One7 ON-1000 24,24,"₹1,599",₹713,55%,5,
660,Caidea,Caidea TW103 Ray,60,"₹3,199",₹379,88%,3.9,
661,,,,,₹599,70%,4,
662,,,,,₹799,82%,5,
663,,,,,₹799,68%,4,
664,,,,,"₹1,099",77%,4,
665,,,,,"₹1,799",70%,5,
666,,,,,,,4.2,
667,,,,,,,4,
668,,,,,,,1,
